timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
37:47.6,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",0.01957932,-0.02172208,0.002834326,"Direction(x,y,z):",0.3231793,-0.3149366,0.8923957
37:47.7,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",0.04148264,-0.04013022,0.006735623,"Direction(x,y,z):",0.4224738,-0.4375035,0.7937925
37:48.8,LOCATION,user_Mydosyqae,rotation_parent,"ORIGIN(x,y,z):",0.03945104,-0.0391253,0.008486805,"Direction(x,y,z):",0.3798472,-0.4506263,0.8078688
38:00.4,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",0.03945104,-0.0391253,0.008486805,"Direction(x,y,z):",0.3798472,-0.4506263,0.8078688
38:06.7,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",1.017147,0.01181446,1.114858,"Direction(x,y,z):",-0.910219,-0.3330267,-0.2461598
38:06.9,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.016798,0.009229577,1.116674,"Direction(x,y,z):",-0.8878304,-0.3871274,-0.2487763
38:10.2,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",1.013128,0.004179372,1.124331,"Direction(x,y,z):",-0.9336078,-0.3448687,-0.0971707
38:10.7,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.016227,0.00731758,1.122281,"Direction(x,y,z):",-0.9293661,-0.3585962,-0.08767775
38:12.9,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",1.017868,0.02551228,1.098849,"Direction(x,y,z):",-0.9020775,-0.3539515,-0.2469301
38:18.9,LOCATION,user_Mydosyqae,metal,"ORIGIN(x,y,z):",1.033241,0.007511464,1.08413,"Direction(x,y,z):",-0.9160486,-0.2998618,-0.2663417
38:22.8,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.00316,0.002498631,1.060522,"Direction(x,y,z):",-0.8946065,-0.3939669,-0.2108773
38:24.0,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",1.025075,0.003118556,1.040493,"Direction(x,y,z):",-0.8130081,-0.3036898,-0.49678
38:24.0,LOCATION,user_Mydosyqae,rotation_parent,"ORIGIN(x,y,z):",1.050249,0.001492952,1.037642,"Direction(x,y,z):",-0.7348872,-0.03427897,-0.6773225
38:25.6,LOCATION,user_ZHenexaequ,rotation_parent,"ORIGIN(x,y,z):",0.0100033,-0.004725269,0.04688891,"Direction(x,y,z):",0.08082877,-0.1344534,0.9876179
38:26.9,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.059638,-0.003598225,1.056298,"Direction(x,y,z):",-0.9253329,-0.3601924,-0.1184076
38:27.5,LOCATION,user_Mydosyqae,rotation_parent,"ORIGIN(x,y,z):",1.070182,-0.004959573,1.055389,"Direction(x,y,z):",-0.9593528,-0.2347066,-0.1567002
38:28.0,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.071965,-0.007848943,1.062191,"Direction(x,y,z):",-0.9300438,-0.3661719,-0.03060436
38:28.4,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-0.3386677,0.009851586,0.5791616,"Direction(x,y,z):",0.6381632,-0.3508686,0.6853021
38:28.5,LOCATION,user_ZHenexaequ,wall 4,"ORIGIN(x,y,z):",-0.5471065,0.01505291,0.9531138,"Direction(x,y,z):",0.8421858,-0.4644328,-0.2739074
38:31.5,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",1.088937,-0.0144871,1.09902,"Direction(x,y,z):",-0.9255639,-0.325106,0.1940041
38:31.8,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.084268,-0.01353907,1.094285,"Direction(x,y,z):",-0.9168797,-0.3779097,0.1285145
38:32.9,LOCATION,user_ZHenexaequ,rotation_parent,"ORIGIN(x,y,z):",-1.036003,0.07201324,0.9452822,"Direction(x,y,z):",0.9981611,-0.060351,-0.005657792
38:33.3,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",1.037685,0.01087953,1.072847,"Direction(x,y,z):",-0.7571402,-0.2793831,0.5904946
38:33.7,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.015178,0.006803683,1.075876,"Direction(x,y,z):",-0.8306416,-0.3877673,0.3995889
38:34.0,LOCATION,user_ZHenexaequ,wall 4,"ORIGIN(x,y,z):",-1.052005,0.03965449,1.041707,"Direction(x,y,z):",0.9226084,-0.3851038,0.02211148
38:35.4,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-1.050967,0.04689446,1.010272,"Direction(x,y,z):",0.9339466,-0.355641,0.03554207
38:35.7,LOCATION,user_ZHenexaequ,wall 4,"ORIGIN(x,y,z):",-1.048769,0.04409752,1.008377,"Direction(x,y,z):",0.9289538,-0.3688875,0.03109428
38:36.1,LOCATION,user_Mydosyqae,rotation_parent,"ORIGIN(x,y,z):",1.337061,0.01069882,1.116683,"Direction(x,y,z):",-0.9960507,-0.0390926,-0.07971632
38:36.5,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-1.043084,0.04640716,1.008537,"Direction(x,y,z):",0.9266332,-0.370145,0.06590541
38:36.7,LOCATION,user_ZHenexaequ,rotation_parent,"ORIGIN(x,y,z):",-1.045062,0.05516179,1.00856,"Direction(x,y,z):",0.9973999,-0.04316526,0.05770731
38:38.0,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",1.349102,0.01024996,1.143564,"Direction(x,y,z):",-0.9451712,-0.3043516,0.1184124
38:40.6,LOCATION,user_Mydosyqae,wall,"ORIGIN(x,y,z):",1.173105,0.01776465,1.117237,"Direction(x,y,z):",-0.3187305,-0.2346312,0.9183458
38:40.9,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-1.037016,0.05703847,1.017203,"Direction(x,y,z):",0.773208,-0.3005514,0.5584068
38:41.0,LOCATION,user_Mydosyqae,Trash,"ORIGIN(x,y,z):",1.163249,0.01785486,1.112849,"Direction(x,y,z):",-0.3466377,-0.2311278,0.9090778
38:41.3,LOCATION,user_ZHenexaequ,wall 4,"ORIGIN(x,y,z):",-1.030975,0.05822763,1.018323,"Direction(x,y,z):",0.7603822,-0.3135642,0.5687675
38:41.9,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-1.021019,0.06107405,1.012089,"Direction(x,y,z):",0.7716638,-0.317982,0.5508379
38:42.9,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",0.9887846,0.03077364,1.164836,"Direction(x,y,z):",-0.9211193,-0.3538635,0.162234
38:43.2,LOCATION,user_ZHenexaequ,plastic,"ORIGIN(x,y,z):",-1.009795,0.05764118,1.011605,"Direction(x,y,z):",0.8956296,-0.3613641,0.259352
38:43.3,LOCATION,user_Mydosyqae,plastic,"ORIGIN(x,y,z):",0.9873253,0.03076156,1.162985,"Direction(x,y,z):",-0.918324,-0.3494096,0.1859947
38:43.4,LOCATION,user_ZHenexaequ,wall 4,"ORIGIN(x,y,z):",-1.010808,0.05620181,1.013852,"Direction(x,y,z):",0.8926705,-0.3692483,0.2584477
38:45.4,LOCATION,user_ZHenexaequ,paper,"ORIGIN(x,y,z):",-1.030262,0.01600377,1.07616,"Direction(x,y,z):",0.1136345,-0.7558101,0.6448553
38:45.5,LOCATION,user_Mydosyqae,wall 4,"ORIGIN(x,y,z):",0.9815957,0.02593949,1.135837,"Direction(x,y,z):",-0.8897649,-0.3603199,0.2801571
38:46.0,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-1.003431,0.01487597,1.057074,"Direction(x,y,z):",0.2861319,-0.7276211,0.6234549
38:46.1,LOCATION,user_ZHenexaequ,plastic,"ORIGIN(x,y,z):",-0.9966639,0.02798777,1.029384,"Direction(x,y,z):",0.8962806,-0.3303159,0.2959265
38:46.9,LOCATION,user_ZHenexaequ,wall 4,"ORIGIN(x,y,z):",-1.008887,0.03833099,1.020826,"Direction(x,y,z):",0.8890041,-0.3592751,0.2838895
38:47.2,LOCATION,user_Mydosyqae,paper,"ORIGIN(x,y,z):",1.073523,-0.01658658,1.110395,"Direction(x,y,z):",-0.06811272,-0.7415817,0.6673958
38:47.9,LOCATION,user_Mydosyqae,plastic,"ORIGIN(x,y,z):",1.137933,-0.02279838,0.9810075,"Direction(x,y,z):",0.1381463,-0.6689652,0.7303432
38:47.9,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-1.070609,0.02664917,0.9594162,"Direction(x,y,z):",0.3161456,-0.5916612,0.7416124
38:48.7,LOCATION,user_ZHenexaequ,paper,"ORIGIN(x,y,z):",-1.123948,0.02568808,0.9598699,"Direction(x,y,z):",0.2770595,-0.6027083,0.7483186
38:48.9,LOCATION,user_Mydosyqae,paper,"ORIGIN(x,y,z):",1.484439,-0.02528872,0.8267799,"Direction(x,y,z):",-0.4488844,-0.5706719,0.687631
38:49.6,LOCATION,user_Mydosyqae,floor,"ORIGIN(x,y,z):",1.508244,-0.0241908,0.7898455,"Direction(x,y,z):",-0.552418,-0.6046947,0.573741
38:49.7,LOCATION,user_ZHenexaequ,plastic,"ORIGIN(x,y,z):",-1.141515,0.01339917,0.868142,"Direction(x,y,z):",-0.180193,-0.6502305,0.7380589
38:49.9,LOCATION,user_Mydosyqae,glass,"ORIGIN(x,y,z):",1.66643,-0.02361335,0.6458583,"Direction(x,y,z):",-0.6203622,-0.6646158,-0.4164571
38:51.0,LOCATION,user_ZHenexaequ,paper,"ORIGIN(x,y,z):",-1.143773,0.01896838,0.8679544,"Direction(x,y,z):",0.1592524,-0.6581698,0.7358336
38:51.3,LOCATION,user_Mydosyqae,metal,"ORIGIN(x,y,z):",1.911471,-0.02557374,0.8618142,"Direction(x,y,z):",-0.4751453,-0.6818854,-0.5561198
38:51.8,LOCATION,user_ZHenexaequ,plastic,"ORIGIN(x,y,z):",-1.126036,0.01633946,0.8734934,"Direction(x,y,z):",-0.1693466,-0.6587069,0.7330941
38:52.8,LOCATION,user_ZHenexaequ,paper,"ORIGIN(x,y,z):",-1.138029,0.0157155,0.8798053,"Direction(x,y,z):",0.1728466,-0.6587592,0.7322298
38:53.7,LOCATION,user_ZHenexaequ,floor,"ORIGIN(x,y,z):",-1.135881,0.01057706,0.8752616,"Direction(x,y,z):",0.1192834,-0.7724916,0.6237212
38:53.8,LOCATION,user_Mydosyqae,glass,"ORIGIN(x,y,z):",1.954142,-0.02650418,0.981192,"Direction(x,y,z):",-0.659074,-0.546374,-0.5168143
