timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
28:47.2,LOCATION,user_Fezhaexaeqe,rotation_parent,"ORIGIN(x,y,z):",-0.01569603,-0.03651814,-0.04882278,"Direction(x,y,z):",0.0825081,-0.1972129,0.9768826
28:48.4,LOCATION,user_Fezhaexaeqe,wall 4,"ORIGIN(x,y,z):",-0.01569603,-0.03651814,-0.04882278,"Direction(x,y,z):",0.0825081,-0.1972129,0.9768826
28:51.6,LOCATION,user_Fezhaexaeqe,Trash,"ORIGIN(x,y,z):",1.146144,0.1068447,0.8918228,"Direction(x,y,z):",-0.3931166,-0.2375595,0.8882707
28:52.8,LOCATION,user_Fezhaexaeqe,wall,"ORIGIN(x,y,z):",1.199314,0.106981,0.9657745,"Direction(x,y,z):",-0.2206165,-0.2541068,0.9416783
28:53.1,LOCATION,user_Fezhaexaeqe,floor,"ORIGIN(x,y,z):",1.184648,0.1014084,0.9646497,"Direction(x,y,z):",-0.3022928,-0.506744,0.8073597
28:53.2,LOCATION,user_Fezhaexaeqe,wall 4,"ORIGIN(x,y,z):",1.168116,0.1012731,0.9534889,"Direction(x,y,z):",-0.3355625,-0.2952498,0.8945532
28:53.7,LOCATION,user_Fezhaexaeqe,wall,"ORIGIN(x,y,z):",1.161106,0.09766044,0.9399706,"Direction(x,y,z):",-0.3468145,-0.2549132,0.9026289
28:53.8,LOCATION,user_Fezhaexaeqe,Trash,"ORIGIN(x,y,z):",1.160481,0.09731473,0.9376428,"Direction(x,y,z):",-0.3510828,-0.2475048,0.9030405
28:55.1,LOCATION,user_Fezhaexaeqe,wall,"ORIGIN(x,y,z):",1.170772,0.09904976,0.9252111,"Direction(x,y,z):",-0.3623509,-0.2484998,0.8983038
28:55.4,LOCATION,user_Fezhaexaeqe,Trash,"ORIGIN(x,y,z):",1.168193,0.1019852,0.9253076,"Direction(x,y,z):",-0.3611032,-0.2460307,0.899485
28:59.2,LOCATION,user_Fezhaexaeqe,wall,"ORIGIN(x,y,z):",1.155385,0.1246063,0.9040667,"Direction(x,y,z):",-0.3741537,-0.2534472,0.8920614
28:59.2,LOCATION,user_Fezhaexaeqe,wall 4,"ORIGIN(x,y,z):",1.154579,0.1246649,0.9040744,"Direction(x,y,z):",-0.3766193,-0.2584714,0.8895788
