timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
20:51.7,LOCATION,user_Jukecyro,Trash,"ORIGIN(x,y,z):",-0.0102524,-0.01350168,-0.05989054,"Direction(x,y,z):",0.00265875,-0.1422875,0.9898218
22:01.4,LOCATION,user_Cepivibu,Trash,"ORIGIN(x,y,z):",-0.07708038,-0.006964234,-0.02708668,"Direction(x,y,z):",0.02794042,-0.1357908,0.9903435
22:01.8,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-0.02961849,-0.006644552,-0.02431944,"Direction(x,y,z):",0.1031528,-0.1952394,0.9753159
22:02.1,LOCATION,user_Cepivibu,Trash,"ORIGIN(x,y,z):",-0.01737382,-0.00651569,-0.02513134,"Direction(x,y,z):",-0.0317936,-0.1610099,0.9864405
22:03.1,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-0.01869866,-0.008797597,-0.04314161,"Direction(x,y,z):",0.04334657,-0.1798671,0.9827355
22:06.6,LOCATION,user_Cepivibu,rotation_parent,"ORIGIN(x,y,z):",-0.01920635,-0.01346112,-0.03625315,"Direction(x,y,z):",-0.07982053,-0.205234,0.9754526
22:07.1,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-0.01920635,-0.01346112,-0.03625315,"Direction(x,y,z):",-0.07982053,-0.205234,0.9754526
22:19.2,LOCATION,user_Cepivibu,wall,"ORIGIN(x,y,z):",-1.354986,0.1242067,1.163154,"Direction(x,y,z):",0.3270979,-0.345588,0.8795317
22:19.2,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-1.361784,0.1254672,1.165049,"Direction(x,y,z):",0.340486,-0.3401208,0.8765769
22:19.5,LOCATION,user_Cepivibu,wall,"ORIGIN(x,y,z):",-1.392418,0.1351035,1.171191,"Direction(x,y,z):",0.4037104,-0.2797662,0.8710618
22:20.1,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-1.455484,0.1416071,1.177023,"Direction(x,y,z):",0.5536762,-0.298678,0.7773249
22:27.6,LOCATION,user_Cepivibu,rotation_parent,"ORIGIN(x,y,z):",-1.460124,0.1055834,1.170832,"Direction(x,y,z):",0.5976262,-0.442412,0.6686663
22:27.6,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-1.460124,0.1055834,1.170832,"Direction(x,y,z):",0.5976262,-0.442412,0.6686663
22:30.3,LOCATION,user_Cepivibu,rotation_parent,"ORIGIN(x,y,z):",-1.460124,0.1055834,1.170832,"Direction(x,y,z):",0.5976262,-0.442412,0.6686663
22:30.9,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-1.460124,0.1055834,1.170832,"Direction(x,y,z):",0.5976262,-0.442412,0.6686663
22:30.9,LOCATION,user_Cepivibu,rotation_parent,"ORIGIN(x,y,z):",-1.460124,0.1055834,1.170832,"Direction(x,y,z):",0.5976262,-0.442412,0.6686663
22:32.5,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-1.460124,0.1055834,1.170832,"Direction(x,y,z):",0.5976262,-0.442412,0.6686663
23:01.6,LOCATION,user_SHogotyki,Trash,"ORIGIN(x,y,z):",-0.001512012,-0.01520441,-0.0196901,"Direction(x,y,z):",-0.01954021,-0.1599443,0.9869326
23:03.0,LOCATION,user_SHogotyki,rotation_parent,"ORIGIN(x,y,z):",-0.001480728,-0.01514066,-0.01957476,"Direction(x,y,z):",-0.01910658,-0.1597678,0.9869698
23:03.8,LOCATION,user_SHogotyki,Trash,"ORIGIN(x,y,z):",-0.001480728,-0.01514066,-0.01957476,"Direction(x,y,z):",-0.01910658,-0.1597678,0.9869698
23:15.7,LOCATION,user_Cepivibu,Trash,"ORIGIN(x,y,z):",-0.0165041,-0.009129995,0.01956846,"Direction(x,y,z):",-0.001772205,-0.146428,0.9892198
23:15.8,LOCATION,user_Cepivibu,wall 4,"ORIGIN(x,y,z):",-0.0207065,-0.01129449,0.02421686,"Direction(x,y,z):",-0.005011267,-0.1799425,0.9836644
24:12.5,LOCATION,user_Vacimyfy,rotation_parent,"ORIGIN(x,y,z):",-0.08511625,-0.01254463,-0.01839733,"Direction(x,y,z):",-0.08080803,-0.2237755,0.971285
24:12.6,LOCATION,user_SHogotyki,rotation_parent,"ORIGIN(x,y,z):",-0.001480728,-0.01514066,-0.01957476,"Direction(x,y,z):",-0.01910658,-0.1597678,0.9869698
24:14.0,LOCATION,user_SHogotyki,Trash,"ORIGIN(x,y,z):",-0.001480728,-0.01514066,-0.01957476,"Direction(x,y,z):",-0.01910658,-0.1597678,0.9869698
24:14.1,LOCATION,user_Vacimyfy,wall 4,"ORIGIN(x,y,z):",-0.08511625,-0.01254463,-0.01839733,"Direction(x,y,z):",-0.08080803,-0.2237755,0.971285
24:28.2,LOCATION,user_Vacimyfy,Trash,"ORIGIN(x,y,z):",-1.218756,0.1500449,1.017507,"Direction(x,y,z):",0.3632128,-0.2227711,0.904682
24:28.5,LOCATION,user_Vacimyfy,wall,"ORIGIN(x,y,z):",-1.222841,0.1454832,1.018385,"Direction(x,y,z):",0.3758948,-0.271729,0.8859268
24:28.6,LOCATION,user_Vacimyfy,wall 4,"ORIGIN(x,y,z):",-1.223858,0.1440552,1.018477,"Direction(x,y,z):",0.3746836,-0.2923298,0.8798611
24:29.0,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.240304,0.07892863,1.014096,"Direction(x,y,z):",0.2932531,-0.6823985,0.6695782
24:29.7,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.254058,0.0528409,1.011795,"Direction(x,y,z):",-0.1006161,-0.7186321,0.6880729
24:30.3,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.118597,0.04785154,0.992725,"Direction(x,y,z):",0.06910878,-0.7002689,0.7105262
24:31.3,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.012139,0.06751501,0.9767677,"Direction(x,y,z):",-0.1222583,-0.6967869,0.7067822
24:31.4,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.040785,0.07036395,0.9771364,"Direction(x,y,z):",-0.2389025,-0.6822006,0.691034
24:32.4,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.081883,0.07332812,0.9515679,"Direction(x,y,z):",0.1569523,-0.6822585,0.7140653
24:33.3,LOCATION,user_Vacimyfy,wall 4,"ORIGIN(x,y,z):",-1.095568,0.07959756,0.9557521,"Direction(x,y,z):",0.4476166,-0.515367,0.7307779
24:33.6,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.086879,0.0838175,0.9010534,"Direction(x,y,z):",0.2335438,-0.6247201,0.7451054
24:34.5,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.022103,0.0830892,0.8601303,"Direction(x,y,z):",-0.02419339,-0.6636335,0.7476665
24:34.6,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.050807,0.07940457,0.9117721,"Direction(x,y,z):",-0.2144275,-0.6516199,0.7276073
24:37.6,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.261052,-0.03606694,1.447837,"Direction(x,y,z):",0.2854225,-0.8337228,0.4726946
24:40.2,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-0.9891518,0.04983117,1.156083,"Direction(x,y,z):",-0.09750181,-0.7533045,0.6504042
24:41.2,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.174774,0.09183317,0.8902448,"Direction(x,y,z):",-0.1095312,-0.6659616,0.7379011
24:41.5,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.137574,0.08024441,0.9103991,"Direction(x,y,z):",0.08390541,-0.7373956,0.6702296
24:43.3,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.150662,-0.06853712,1.376934,"Direction(x,y,z):",0.09954052,-0.7695243,0.6308121
24:43.4,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.162463,-0.07732498,1.385431,"Direction(x,y,z):",-0.07328647,-0.7873625,0.6121187
24:43.7,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.163688,-0.07589115,1.380642,"Direction(x,y,z):",-0.05525632,-0.7889184,0.6120085
24:43.8,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.155289,-0.06014686,1.341136,"Direction(x,y,z):",0.1069752,-0.768227,0.6311763
24:45.4,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.087686,0.0715473,0.9116412,"Direction(x,y,z):",-0.1377482,-0.7480849,0.6491491
24:45.8,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.084929,0.07201602,0.9197316,"Direction(x,y,z):",-0.1050769,-0.7567186,0.6452409
24:45.8,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.076792,0.06709865,0.9415226,"Direction(x,y,z):",0.04029753,-0.7780955,0.6268521
24:47.3,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.101357,-0.04673872,1.256508,"Direction(x,y,z):",0.03662735,-0.7684245,0.6388914
24:47.4,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.104311,-0.04264015,1.263548,"Direction(x,y,z):",-0.1993109,-0.7619197,0.6162414
24:48.0,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.092964,0.03364234,1.046186,"Direction(x,y,z):",0.03071908,-0.7536799,0.6565235
24:48.2,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.092257,0.0344559,1.044122,"Direction(x,y,z):",0.03423754,-0.7541404,0.6558202
24:48.2,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.091829,0.03485047,1.043199,"Direction(x,y,z):",0.02771846,-0.7539318,0.6563677
24:48.3,LOCATION,user_Vacimyfy,plastic,"ORIGIN(x,y,z):",-1.091295,0.04453031,1.028516,"Direction(x,y,z):",-0.2563296,-0.6917108,0.6751528
24:48.9,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.083563,0.04683644,1.031111,"Direction(x,y,z):",-0.0933753,-0.7040359,0.7039989
24:49.0,LOCATION,user_Vacimyfy,paper,"ORIGIN(x,y,z):",-1.061181,0.0473881,1.033159,"Direction(x,y,z):",0.1764718,-0.6927007,0.6993021
24:49.5,LOCATION,user_Vacimyfy,floor,"ORIGIN(x,y,z):",-1.049076,0.04728218,1.048152,"Direction(x,y,z):",0.2862188,-0.6849863,0.6699795
24:50.2,LOCATION,user_Vacimyfy,glass,"ORIGIN(x,y,z):",-1.16213,0.04690255,0.8160326,"Direction(x,y,z):",0.1270878,-0.7769628,-0.6165854
