timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
22:27.0,LOCATION,user_Coniketa,rotation_parent,"ORIGIN(x,y,z):",-0.06447304,-0.03645598,0.01644527,"Direction(x,y,z):",0.000612257,-0.6162394,0.7875587
22:29.1,LOCATION,user_Coniketa,wall 4,"ORIGIN(x,y,z):",-0.06447304,-0.03645598,0.01644527,"Direction(x,y,z):",0.000612257,-0.6162394,0.7875587
22:35.8,LOCATION,user_Coniketa,floor,"ORIGIN(x,y,z):",0.6375395,0.07366484,1.162191,"Direction(x,y,z):",-0.8897602,-0.4460832,0.09662533
22:37.9,LOCATION,user_Coniketa,wall 4,"ORIGIN(x,y,z):",0.6532251,0.08178198,1.182923,"Direction(x,y,z):",-0.8757249,-0.4823337,0.02144971
22:40.5,LOCATION,user_Coniketa,floor,"ORIGIN(x,y,z):",0.6481737,0.08735761,1.171663,"Direction(x,y,z):",-0.8780949,-0.4031113,-0.2577804
22:41.0,LOCATION,user_Coniketa,wall 4,"ORIGIN(x,y,z):",0.6358107,0.0914005,1.17179,"Direction(x,y,z):",-0.8523808,-0.5188071,-0.06546879
22:42.7,LOCATION,user_Coniketa,floor,"ORIGIN(x,y,z):",0.6176399,0.09177089,1.161348,"Direction(x,y,z):",-0.8453667,-0.4809992,-0.2323681
22:42.8,LOCATION,user_Coniketa,metal,"ORIGIN(x,y,z):",0.6166865,0.0917464,1.151528,"Direction(x,y,z):",-0.8219701,-0.4401862,-0.3613881
22:43.3,LOCATION,user_Coniketa,wall 4,"ORIGIN(x,y,z):",0.6064824,0.08874507,1.107611,"Direction(x,y,z):",-0.8305661,-0.5027636,-0.2395597
22:45.0,LOCATION,user_Coniketa,floor,"ORIGIN(x,y,z):",0.6440127,0.08741254,1.144432,"Direction(x,y,z):",-0.8982371,-0.4241324,0.1152468
22:48.0,LOCATION,user_Coniketa,wall 4,"ORIGIN(x,y,z):",0.6223873,0.09366921,1.165202,"Direction(x,y,z):",-0.8622737,-0.5060806,-0.01914298
22:48.6,LOCATION,user_Coniketa,floor,"ORIGIN(x,y,z):",0.6251665,0.0888536,1.159822,"Direction(x,y,z):",-0.8708214,-0.4913894,-0.01437625
22:50.2,LOCATION,user_Coniketa,wall 4,"ORIGIN(x,y,z):",0.7041469,0.08430041,1.258169,"Direction(x,y,z):",-0.8294142,-0.5563705,-0.05023765
22:53.0,LOCATION,user_Coniketa,floor,"ORIGIN(x,y,z):",0.734437,0.0750512,1.181721,"Direction(x,y,z):",-0.8945899,-0.4369665,-0.09364438
