timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
36:23.0,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.4105923,0.03149756,1.286035,"Direction(x,y,z):",-0.1290896,-0.2374425,-0.962786
36:23.3,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9894067,-0.03645064,1.183381,"Direction(x,y,z):",0.7051799,-0.7066952,0.05747312
36:23.4,LOCATION,user_Xoraegore,metal650,"ORIGIN(x,y,z):",-0.9879103,-0.03534772,1.200358,"Direction(x,y,z):",0.7134798,-0.6818189,0.1614608
36:23.7,LOCATION,user_Vokelaede,glass609,"ORIGIN(x,y,z):",0.4221748,0.02194083,1.285341,"Direction(x,y,z):",-0.009973774,-0.4623679,-0.8866321
36:24.0,LOCATION,user_Xoraegore,Danger616,"ORIGIN(x,y,z):",-0.9888854,-0.03701064,1.208843,"Direction(x,y,z):",0.6996686,-0.6851824,0.2024573
36:24.1,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9891155,-0.03699175,1.209149,"Direction(x,y,z):",0.7000954,-0.6844333,0.2035132
36:24.1,LOCATION,user_Xoraegore,Danger616,"ORIGIN(x,y,z):",-0.9893366,-0.03697035,1.209431,"Direction(x,y,z):",0.7005322,-0.6836218,0.2047336
36:24.2,Object,LeftoverObject,176,wall,,,,,,,
36:24.6,LOCATION,user_Xoraegore,metal651,"ORIGIN(x,y,z):",-0.9950566,-0.03737191,1.206125,"Direction(x,y,z):",0.7139677,-0.6778491,0.1754163
36:25.8,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9961405,-0.03955865,1.207943,"Direction(x,y,z):",0.7139395,-0.6855335,0.142598
36:26.4,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.542655,0.01955749,1.221844,"Direction(x,y,z):",-0.1747179,-0.4938086,-0.8518373
36:26.7,LOCATION,user_Xoraegore,Trash615,"ORIGIN(x,y,z):",-1.008438,-0.03417563,1.187227,"Direction(x,y,z):",0.7997259,-0.5911518,-0.1047759
36:26.9,LOCATION,user_Vokelaede,glass609,"ORIGIN(x,y,z):",0.5174553,0.014135,1.231451,"Direction(x,y,z):",-0.1403291,-0.584398,-0.7992414
36:27.3,LOCATION,user_Vokelaede,wall 4,"ORIGIN(x,y,z):",0.5151205,0.01551945,1.231492,"Direction(x,y,z):",-0.1393846,-0.5810465,-0.8018459
36:27.4,LOCATION,user_Vokelaede,glass648,"ORIGIN(x,y,z):",0.5150179,0.0284099,1.229154,"Direction(x,y,z):",-0.1284723,-0.3230822,-0.9376101
36:27.6,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.012674,-0.03056818,1.187629,"Direction(x,y,z):",0.8141907,-0.5729828,-0.09372286
36:28.0,LOCATION,user_Xoraegore,metal610,"ORIGIN(x,y,z):",-1.012618,-0.02649532,1.184438,"Direction(x,y,z):",0.8282861,-0.5424966,-0.1401418
36:28.2,LOCATION,user_Xoraegore,paper647,"ORIGIN(x,y,z):",-1.002883,-0.01978719,1.172154,"Direction(x,y,z):",0.810151,-0.5346295,-0.2404718
36:28.8,Object,SortedObject,69,Trash655,,,,,,,
36:29.1,LOCATION,user_Vokelaede,Trash654,"ORIGIN(x,y,z):",0.516753,0.03490404,1.213516,"Direction(x,y,z):",-0.08707163,-0.2882447,-0.9535898
36:29.3,Object,LeftoverObject,177,floor,,,,,,,
36:29.6,Object,LeftoverObject,178,wall,,,,,,,
36:29.6,Object,LeftoverObject,179,wall,,,,,,,
36:30.0,Object,LeftoverObject,180,wall,,,,,,,
36:31.0,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9915901,-0.01204532,1.101471,"Direction(x,y,z):",0.8011476,-0.5628745,0.2033098
