timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
13:29.4,LOCATION,user_Faewodaxa,Trash,"ORIGIN(x,y,z):",-0.03016509,-0.006296968,0.04853765,"Direction(x,y,z):",-0.000346213,-0.1648589,0.986317
13:29.5,LOCATION,user_Faewodaxa,wall,"ORIGIN(x,y,z):",-0.03192647,-0.00659338,0.04826928,"Direction(x,y,z):",0.006007942,-0.1750406,0.984543
13:29.5,LOCATION,user_Faewodaxa,wall 4,"ORIGIN(x,y,z):",-0.03216428,-0.006698495,0.04815324,"Direction(x,y,z):",0.006860921,-0.1771332,0.984163
13:55.0,LOCATION,user_Wicywiqu,rotation_parent,"ORIGIN(x,y,z):",-0.06697746,-0.01613801,-0.006516214,"Direction(x,y,z):",-0.02054434,-0.2960525,0.9549507
13:57.0,LOCATION,user_Wicywiqu,wall 4,"ORIGIN(x,y,z):",-0.06697746,-0.01613801,-0.006516214,"Direction(x,y,z):",-0.02054434,-0.2960525,0.9549507
13:57.1,LOCATION,user_Wicywiqu,rotation_parent,"ORIGIN(x,y,z):",-0.06697746,-0.01613801,-0.006516214,"Direction(x,y,z):",-0.02054434,-0.2960525,0.9549507
13:59.9,LOCATION,user_Wicywiqu,wall 4,"ORIGIN(x,y,z):",-0.06697746,-0.01613801,-0.006516214,"Direction(x,y,z):",-0.02054434,-0.2960525,0.9549507
13:59.9,LOCATION,user_Wicywiqu,rotation_parent,"ORIGIN(x,y,z):",-0.06697746,-0.01613801,-0.006516214,"Direction(x,y,z):",-0.02054434,-0.2960525,0.9549507
14:00.6,LOCATION,user_Wicywiqu,wall 4,"ORIGIN(x,y,z):",-0.06697746,-0.01613801,-0.006516214,"Direction(x,y,z):",-0.02054434,-0.2960525,0.9549507
14:00.6,LOCATION,user_Wicywiqu,rotation_parent,"ORIGIN(x,y,z):",-0.06697746,-0.01613801,-0.006516214,"Direction(x,y,z):",-0.02054434,-0.2960525,0.9549507
