timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
14:44.9,LOCATION,user_Fomyvizha,wall 4,"ORIGIN(x,y,z):",-0.01515654,0.008032763,-0.01732819,"Direction(x,y,z):",0.01932899,-0.1780571,0.9838303
14:47.1,LOCATION,user_Fomyvizha,floor,"ORIGIN(x,y,z):",0.09119572,0.1400884,0.1318892,"Direction(x,y,z):",0.3853936,-0.3342853,0.8600727
14:47.2,LOCATION,user_Fomyvizha,paper,"ORIGIN(x,y,z):",0.102666,0.130385,0.1556433,"Direction(x,y,z):",0.3420442,-0.4438598,0.8282477
14:47.2,LOCATION,user_Fomyvizha,wall 4,"ORIGIN(x,y,z):",0.1068895,0.1254481,0.1645317,"Direction(x,y,z):",0.3334999,-0.4819215,0.8102651
14:47.4,LOCATION,user_Fomyvizha,floor,"ORIGIN(x,y,z):",0.169593,-0.01652795,0.3247076,"Direction(x,y,z):",0.5318673,-0.6928076,0.486965
14:47.6,LOCATION,user_Fomyvizha,metal,"ORIGIN(x,y,z):",0.1808083,-0.2852716,0.443759,"Direction(x,y,z):",0.8885611,-0.4543461,-0.06347156
14:47.7,LOCATION,user_Fomyvizha,floor,"ORIGIN(x,y,z):",0.1742793,-0.3943514,0.4689071,"Direction(x,y,z):",0.868848,-0.3353768,-0.3641778
14:48.2,LOCATION,user_Fomyvizha,wall 4,"ORIGIN(x,y,z):",0.193003,-0.6060497,0.5824653,"Direction(x,y,z):",0.6831223,-0.0269209,-0.7298077
14:49.3,LOCATION,user_Fomyvizha,glass,"ORIGIN(x,y,z):",0.2435337,-0.688501,0.6086395,"Direction(x,y,z):",0.7502634,-0.1476548,-0.6444401
14:51.6,LOCATION,user_Fomyvizha,wall 4,"ORIGIN(x,y,z):",0.2549261,-0.6147428,0.6430281,"Direction(x,y,z):",0.7675318,-0.2798736,-0.5766851
14:53.2,LOCATION,user_Fomyvizha,floor,"ORIGIN(x,y,z):",0.3838706,-0.3565613,0.7893419,"Direction(x,y,z):",0.6993638,-0.6739121,-0.2381862
14:53.2,LOCATION,user_Fomyvizha,wall 4,"ORIGIN(x,y,z):",0.3697077,-0.3629448,0.7694085,"Direction(x,y,z):",0.6664837,-0.6955884,-0.2682469
