timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
40:59.2,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.206271,-0.02920487,0.7291068,"Direction(x,y,z):",0.8719064,-0.1940047,0.4496015
40:59.3,LOCATION,user_Mileranu,plastic706,"ORIGIN(x,y,z):",-2.179417,-0.02396555,0.7224748,"Direction(x,y,z):",0.8814842,-0.1776772,0.4375117
40:59.3,LOCATION,user_Lufohaelae,paper,"ORIGIN(x,y,z):",2.049293,0.06140072,1.16058,"Direction(x,y,z):",-0.7223951,-0.5568419,0.4099666
40:59.8,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",2.051201,0.06268024,1.158902,"Direction(x,y,z):",-0.7624539,-0.4920487,0.420181
40:59.8,LOCATION,user_Lufohaelae,plastic706,"ORIGIN(x,y,z):",2.061771,0.06819154,1.140505,"Direction(x,y,z):",-0.8699232,-0.2263066,0.4381998
41:00.3,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",2.063354,0.06808072,1.130982,"Direction(x,y,z):",-0.8628138,-0.2249455,0.4527159
41:01.3,LOCATION,user_Lufohaelae,plastic706,"ORIGIN(x,y,z):",2.248611,0.06386794,1.064283,"Direction(x,y,z):",-0.805414,-0.3129824,0.5033391
41:01.4,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",2.2511,0.0638331,1.063472,"Direction(x,y,z):",-0.8051999,-0.3121236,0.5042142
41:01.5,Object,LeftoverObject,198,floor,,,,,,,
41:01.9,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",2.268355,0.06387133,1.053898,"Direction(x,y,z):",-0.7927165,-0.3331556,0.5104976
41:02.2,LOCATION,user_Lufohaelae,paper,"ORIGIN(x,y,z):",2.314136,0.06147086,1.018633,"Direction(x,y,z):",-0.7191169,-0.5152267,0.4662747
41:03.6,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",2.271808,0.06480362,0.9952141,"Direction(x,y,z):",-0.8069266,-0.4382437,0.3959948
41:03.7,LOCATION,user_Lufohaelae,Danger711,"ORIGIN(x,y,z):",2.09378,0.0676991,0.8998424,"Direction(x,y,z):",-0.9356412,-0.3529213,-0.004688382
41:04.7,Object,LeftoverObject,199,wall,,,,,,,
41:04.7,LOCATION,user_Lufohaelae,floor,"ORIGIN(x,y,z):",1.952201,0.06218911,0.9330344,"Direction(x,y,z):",-0.7773691,-0.414723,-0.4729716
41:05.6,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.977953,0.0686325,1.003968,"Direction(x,y,z):",-0.7526121,-0.369282,0.5451659
41:06.2,Object,LeftoverObject,200,wall,,,,,,,
41:06.7,LOCATION,user_Lufohaelae,wall,"ORIGIN(x,y,z):",2.017596,0.07262415,1.039718,"Direction(x,y,z):",-0.5917792,-0.21972,0.7755775
41:06.9,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",2.016552,0.07305362,1.04599,"Direction(x,y,z):",-0.6195361,-0.2276998,0.7512175
41:07.6,LOCATION,user_Lufohaelae,Danger711,"ORIGIN(x,y,z):",1.968078,0.05975273,1.131614,"Direction(x,y,z):",-0.9012786,-0.3633489,-0.2359545
41:09.1,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.626157,-0.04209707,0.7294538,"Direction(x,y,z):",0.7162495,-0.1899497,-0.6714952
41:09.2,SceneChange,Deleting scene...,,,,,,,,,
