"contrast","estimate","SE","df","t.ratio","p.value","question"
"sound0 visualization2 - sound1 visualization2",5.99999999999998,11.1933525197046,56.8041368819842,0.536032434379037,0.994430782394613,"Q3_10"
"sound0 visualization2 - sound0 visualization3",2.45,6.03257603574146,76.0000000000003,0.406128324862278,0.998526058060664,"Q3_10"
"sound0 visualization2 - sound1 visualization3",-3.50000000000002,11.1933525197046,56.8041368819842,-0.312685586721107,0.999579065236228,"Q3_10"
"sound1 visualization2 - sound0 visualization3",-3.54999999999998,11.1933525197046,56.8041368819842,-0.317152523674263,0.999548887476938,"Q3_10"
"sound1 visualization2 - sound1 visualization3",-9.5,6.03257603574146,76.0000000000003,-1.57478330048638,0.61744377653793,"Q3_10"
"sound0 visualization3 - sound1 visualization3",-5.95000000000002,11.1933525197046,56.8041368819842,-0.531565497425882,0.994644002526637,"Q3_10"
"sound0 visualization1 - sound1 visualization1",1.45000000000006,11.1204334311289,51.9614325297806,0.130390601138005,0.999994395904015,"Q3_11"
"sound0 visualization1 - sound0 visualization2",-3.95,5.30251506255322,76.0000000000003,-0.744929519935777,0.97552791053028,"Q3_11"
"sound0 visualization1 - sound1 visualization2",5.35000000000007,11.1204334311289,51.9614325297806,0.481096355922969,0.996631678360388,"Q3_11"
"sound0 visualization1 - sound0 visualization3",5.15,5.30251506255322,75.9999999999999,0.971237222194747,0.925627206931719,"Q3_11"
"sound0 visualization1 - sound1 visualization3",-8.59999999999994,11.1204334311289,51.9614325297806,-0.773351151577094,0.970818934154398,"Q3_11"
"sound1 visualization1 - sound0 visualization2",-5.40000000000006,11.1204334311289,51.9614325297806,-0.485592583548417,0.996480423559222,"Q3_11"
"sound1 visualization1 - sound1 visualization2",3.9,5.30251506255322,76.0000000000003,0.735500032341654,0.976856754926636,"Q3_11"
"sound1 visualization1 - sound0 visualization3",3.69999999999994,11.1204334311289,51.9614325297806,0.332720844283165,0.999427139589647,"Q3_11"
"sound1 visualization1 - sound1 visualization3",-10.05,5.30251506255322,75.9999999999999,-1.89532700641888,0.412973950040565,"Q3_11"
"sound0 visualization2 - sound1 visualization2",9.30000000000007,11.1204334311289,51.9614325297806,0.836298338333381,0.959270884953711,"Q3_11"
"sound0 visualization2 - sound0 visualization3",9.1,5.30251506255322,75.9999999999999,1.71616674213052,0.525607201337823,"Q3_11"
"sound0 visualization2 - sound1 visualization3",-4.64999999999993,11.1204334311289,51.9614325297806,-0.418149169166682,0.998271856878816,"Q3_11"
"sound1 visualization2 - sound0 visualization3",-0.200000000000065,11.1204334311289,51.9614325297806,-0.0179849105017989,0.999999999717375,"Q3_11"
"sound1 visualization2 - sound1 visualization3",-13.95,5.30251506255322,75.9999999999999,-2.63082703876053,0.102327948804055,"Q3_11"
"sound0 visualization3 - sound1 visualization3",-13.7499999999999,11.1204334311289,51.9614325297806,-1.23646259699826,0.816932326046247,"Q3_11"
