47:31.8,LOCATION,user_ZHaesibavo,rotation_parent,"ORIGIN(x,y,z):",-0.1060166,-0.008193105,0.06688343,"Direction(x,y,z):",-0.09818823,-0.2349496,0.9670356
47:32.4,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-0.1060166,-0.008193105,0.06688343,"Direction(x,y,z):",-0.09818823,-0.2349496,0.9670356
47:32.9,LOCATION,user_ZHaesibavo,rotation_parent,"ORIGIN(x,y,z):",-0.1060166,-0.008193105,0.06688343,"Direction(x,y,z):",-0.09818823,-0.2349496,0.9670356
47:37.8,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-0.1060166,-0.008193105,0.06688343,"Direction(x,y,z):",-0.09818823,-0.2349496,0.9670356
48:45.7,LOCATION,user_ZHaesibavo,wall,"ORIGIN(x,y,z):",-0.04201633,-0.002375086,0.02322823,"Direction(x,y,z):",0.08202542,-0.1751171,0.9811248
48:45.7,LOCATION,user_ZHaesibavo,Trash,"ORIGIN(x,y,z):",-0.04325509,-0.002337357,0.02319806,"Direction(x,y,z):",0.08059764,-0.1702756,0.9820949
48:46.0,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-0.08303227,-0.004217894,0.02414836,"Direction(x,y,z):",-0.08663189,-0.208125,0.9742581
48:47.4,LOCATION,user_ZHaesibavo,rotation_parent,"ORIGIN(x,y,z):",-0.08984046,-0.00462072,0.02407674,"Direction(x,y,z):",-0.06262937,-0.2093134,0.9758409
48:50.8,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-0.08984046,-0.00462072,0.02407674,"Direction(x,y,z):",-0.06262937,-0.2093134,0.9758409
48:55.7,LOCATION,user_ZHaesibavo,rotation_parent,"ORIGIN(x,y,z):",-0.1861221,-0.002158057,0.1015746,"Direction(x,y,z):",0.2397141,-0.2653479,0.9338778
48:56.9,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-0.1861221,-0.002158057,0.1015746,"Direction(x,y,z):",0.2397141,-0.2653479,0.9338778
49:09.7,LOCATION,user_ZHaesibavo,metal,"ORIGIN(x,y,z):",-1.204057,0.129745,1.080945,"Direction(x,y,z):",0.9126902,-0.3332221,-0.2365578
49:10.2,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.230321,0.1375811,1.037816,"Direction(x,y,z):",0.8642708,-0.3346491,-0.375561
49:10.7,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.218669,0.1302578,1.037402,"Direction(x,y,z):",0.8462853,-0.3463777,-0.4047512
49:14.1,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.211068,0.1187568,1.093631,"Direction(x,y,z):",0.9290512,-0.3696176,-0.01570481
49:17.9,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.363172,0.1316846,1.1159,"Direction(x,y,z):",0.9000746,-0.389783,-0.1947692
49:19.6,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.314245,0.07518458,1.164687,"Direction(x,y,z):",0.595363,-0.6689727,0.4449926
49:20.1,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.293416,0.07605806,1.063997,"Direction(x,y,z):",0.710711,-0.604845,-0.3592387
49:20.9,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.27722,0.07855467,0.9871523,"Direction(x,y,z):",0.5459852,-0.6688445,-0.5045267
49:21.3,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.265965,0.07575227,0.9918721,"Direction(x,y,z):",0.627515,-0.6706987,-0.3954595
49:23.1,LOCATION,user_ZHaesibavo,plastic,"ORIGIN(x,y,z):",-1.143767,0.109766,1.119918,"Direction(x,y,z):",0.8980244,-0.3442884,0.2738937
49:23.3,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.147532,0.1111555,1.125677,"Direction(x,y,z):",0.8862845,-0.4125935,0.2103955
49:24.4,LOCATION,user_ZHaesibavo,plastic,"ORIGIN(x,y,z):",-1.164082,0.1239466,1.119309,"Direction(x,y,z):",0.8881878,-0.3681436,0.2749413
49:32.8,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.133037,0.1334769,1.095094,"Direction(x,y,z):",0.8732073,-0.4808981,-0.07903278
49:34.5,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.145845,0.1182042,1.025659,"Direction(x,y,z):",0.7489815,-0.2776482,0.6016131
49:34.5,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.172735,0.1114784,1.006752,"Direction(x,y,z):",0.8217154,-0.4198007,0.3854236
49:38.2,LOCATION,user_ZHaesibavo,paper,"ORIGIN(x,y,z):",-1.204489,0.04735566,1.237224,"Direction(x,y,z):",0.2681068,-0.8256516,0.4964051
49:38.7,LOCATION,user_ZHaesibavo,plastic,"ORIGIN(x,y,z):",-1.294362,0.01752548,1.397085,"Direction(x,y,z):",-0.1911751,-0.861174,0.4709898
49:39.9,LOCATION,user_ZHaesibavo,paper,"ORIGIN(x,y,z):",-1.260591,0.01422869,1.419535,"Direction(x,y,z):",0.3621824,-0.8438897,0.3958207
49:40.8,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.226917,0.02791153,1.353577,"Direction(x,y,z):",0.3631707,-0.8965204,0.2536891
49:41.1,LOCATION,user_ZHaesibavo,glass,"ORIGIN(x,y,z):",-1.203359,0.05945467,0.9371319,"Direction(x,y,z):",0.2284436,-0.7478528,-0.6233215
49:41.6,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.225282,0.0547806,0.8807091,"Direction(x,y,z):",0.1422208,-0.7836128,-0.6047513
49:41.6,LOCATION,user_ZHaesibavo,metal,"ORIGIN(x,y,z):",-1.264779,0.04310205,0.7901825,"Direction(x,y,z):",-0.2324822,-0.8289825,-0.5086649
49:42.4,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.277509,0.02454099,0.8556694,"Direction(x,y,z):",-0.07239009,-0.9200692,-0.3850095
49:44.2,LOCATION,user_ZHaesibavo,metal,"ORIGIN(x,y,z):",-1.317738,0.04401488,0.9111275,"Direction(x,y,z):",-0.09132838,-0.7778868,-0.6217324
49:45.9,LOCATION,user_ZHaesibavo,glass,"ORIGIN(x,y,z):",-1.36668,0.04881188,0.7059885,"Direction(x,y,z):",0.4409952,-0.7648376,-0.469624
49:46.3,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.354655,0.05866513,0.7169225,"Direction(x,y,z):",0.5366713,-0.703582,-0.4657855
49:46.4,LOCATION,user_ZHaesibavo,wall 4,"ORIGIN(x,y,z):",-1.340744,0.07273853,0.7348375,"Direction(x,y,z):",0.6458139,-0.6042092,-0.4667501
49:50.5,LOCATION,user_ZHaesibavo,floor,"ORIGIN(x,y,z):",-1.424493,0.1194692,1.069139,"Direction(x,y,z):",0.9409407,-0.3384213,0.0100724
49:52.6,LOCATION,user_ZHaesibavo,Trash,"ORIGIN(x,y,z):",-1.247536,0.130544,1.063358,"Direction(x,y,z):",0.4040884,-0.2526965,0.8791229
49:52.8,LOCATION,user_ZHaesibavo,wall,"ORIGIN(x,y,z):",-1.248078,0.1293333,1.069998,"Direction(x,y,z):",0.3976759,-0.2669586,0.8778308
